原页码,菌株名称,DSM编号,提取的编号,WGS_ID,WGS_状态,WGS_文件,16S_ID,16S_状态,16S_文件
338,Pseudomonas sp. DSM 13133,DSM 13133,DSM 13133,,,,,,
338,Liquorilactobacillus nagelii DSM 13138,DSM 13138,DSM 13138,,,,,,
339,Agrobacterium sp. DSM 13150,DSM 13150,DSM 13150,,,,,,
339,Methanosarcina sp. DSM 13159,DSM 13159,DSM 13159,,,,,,
339,Enterococcus sp. DSM 13161,DSM 13161,DSM 13161,GCF_014000945.1,已存在,DSM_Enterococcus sp. DSM 13161_WGS_GCF_014000945.1.fasta,,,
339,Hydrogenovibrio sp. DSM 13163,DSM 13163,DSM 13163,,,,,,
339,Thiomicrospira sp. DSM 13169,DSM 13169,DSM 13169,,,,,,
339,Fusarium aquaeductuum DSM 13173,DSM 13173,DSM 13173,,,,,,
339,Paenibacillus sp. DSM 13187,DSM 13187,DSM 13187,,,,,,
339,Thiomicrorhabdus sp. DSM 13189,DSM 13189,DSM 13189,,,,,,
340,Levilactobacillus brevis DSM 13201,DSM 13201,DSM 13201,,,,,,
340,Loigolactobacillus coryniformis subsp. coryniformis DSM 13202,DSM 13202,DSM 13202,,,,,,
340,Taphrina padi DSM 13214,DSM 13214,DSM 13214,,,,,,
340,Taphrina pruni DSM 13215,DSM 13215,DSM 13215,,,,,,
340,Taphrina sadebeckii DSM 13216,DSM 13216,DSM 13216,,,,,,
340,Bulleidia extructa DSM 13220,DSM 13220,CIP 108362;DSM 13220,GCA_976991315.1,已存在,DSM_Bulleidia extructa DSM 13220_WGS_GCA_976991315.1.fasta,NR_028773,已存在,DSM_Bulleidia extructa DSM 13220_16S_NR_028773.fasta
340,Diaphorobacter sp. DSM 13225,DSM 13225,DSM 13225,,,,,,
340,Thiomicrorhabdus sp. DSM 13229,DSM 13229,DSM 13229,GCF_000702325.1,已存在,DSM_Thiomicrorhabdus sp. DSM 13229_WGS_GCF_000702325.1.fasta,,,
340,Rhodoplanes roseus DSM 13233,DSM 13233,DSM 13233,,,,,,
340,Magnetospirillum fulvum DSM 13234,DSM 13234,DSM 13234,GCF_900108475.1,已存在,DSM_Magnetospirillum fulvum DSM 13234_WGS_GCF_900108475.1.fasta,,,
340,Rhodoferax fermentans DSM 13235,DSM 13235,DSM 13235,,,,,,
341,Geobacillus sp. DSM 13240,DSM 13240,DSM 13240;CIP 106956,GCF_001274575.1,已存在,DSM_Geobacillus sp. DSM 13240_WGS_GCF_001274575.1.fasta,AY297092,已存在,DSM_Geobacillus sp. DSM 13240_16S_AY297092.fasta
341,Blastochloris sulfoviridis DSM 13255,DSM 13255,DSM 13255,,,,,,
341,Candida dubliniensis DSM 13268,DSM 13268,DSM 13268,,,,,,
341,unclassified bacterium DSM 13281,DSM 13281,DSM 13281,,,,,,
341,Bosea sp. DSM 13282,DSM 13282,DSM 13282,,,,,,
341,Bosea sp. DSM 13283,DSM 13283,DSM 13283,,,,,,
341,Bosea sp. DSM 13284,DSM 13284,DSM 13284,,,,,,
342,Inquilinus sp. DSM 13285,DSM 13285,DSM 13285,,,,,,
342,Bacillus thermoamylovorans DSM 13307,DSM 13307,DSM 13307,,,,,,
342,Bacillus thermoamylovorans DSM 13308,DSM 13308,DSM 13308,,,,,,
342,Lactobacillus iners DSM 13336,DSM 13336,DSM 13336,,,,,,
342,Pseudomonas sp. DSM 13337,DSM 13337,DSM 13337,,,,,,
342,Brucella grignonensis DSM 13339,DSM 13339,DSM 13339;LMG 18955,,,,,,
342,Limosilactobacillus mucosae DSM 13346,DSM 13346,DSM 13346,,,,,,
342,Pyrococcus horikoshii DSM 13347,DSM 13347,DSM 13347,,,,,,
343,Ensifer kostiensis DSM 13373,DSM 13373,DSM 13373,,,,,,
343,Ensifer kostiensis DSM 13374,DSM 13374,DSM 13374,,,,,,
343,Ensifer arboris DSM 13376,DSM 13376,DSM 13376,,,,,,
343,Heliomicrobium undosum DSM 13378,DSM 13378,DSM 13378,GCF_009877425.1,已存在,DSM_Heliomicrobium undosum DSM 13378_WGS_GCF_009877425.1.fasta,NR_025091,已存在,DSM_Heliomicrobium undosum DSM 13378_16S_NR_025091.fasta
343,Halomonas sp. DSM 13379,DSM 13379,DSM 13379,,,,,,
343,Azospirillum doebereinerae DSM 13400,DSM 13400,DSM 13400,GCF_977006905.2,已存在,DSM_Azospirillum doebereinerae DSM 13400_WGS_GCF_977006905.2.fasta,,,
343,Paenibacillus pabuli DSM 13407,DSM 13407,DSM 13407,,,,,,
343,Paenibacillus chibensis DSM 13408,DSM 13408,DSM 13408,,,,,,
343,Paenibacillus peoriae DSM 13410,DSM 13410,DSM 13410,,,,,,
344,Paenibacillus lautus DSM 13413,DSM 13413,DSM 13413,,,,,,
344,Acidipropionibacterium microaerophilum DSM 13435,DSM 13435,DSM 13435;CIP 109962,,,,NR_028778,已存在,DSM_Acidipropionibacterium microaerophilum DSM 13435_16S_NR_028778.fasta
344,Cupriavidus necator DSM 13439,DSM 13439,DSM 13439,,,,,,
344,Hungatella hathewayi DSM 13480,DSM 13480,DSM 13480,,,,,,
345,Thermoanaerobacter sp. DSM 13515,DSM 13515,DSM 13515,,,,,,
345,Bartonella schoenbuchensis DSM 13525,DSM 13525,DSM 13525,GCF_039555305.1,已存在,DSM_Bartonella schoenbuchensis DSM 13525_WGS_GCF_039555305.1.fasta,LK021127,已存在,DSM_Bartonella schoenbuchensis DSM 13525_16S_LK021127.fasta
345,Azotobacter vinelandii DSM 13529,DSM 13529,DSM 13529,,,,,,
346,Thioalkalivibrio sp. DSM 13533,DSM 13533,DSM 13533,,,,,,
346,Paraclostridium bifermentans DSM 13560,DSM 13560,DSM 13560,,,,,,
346,Garciella sp. DSM 13576,DSM 13576,DSM 13576,,,,,,
346,Thiobaca trueperi DSM 13587,DSM 13587,DSM 13587,GCF_004342175.1,已存在,DSM_Thiobaca trueperi DSM 13587_WGS_GCF_004342175.1.fasta,AJ404007,已存在,DSM_Thiobaca trueperi DSM 13587_16S_AJ404007.fasta
346,Thiobaca trueperi DSM 13588,DSM 13588,DSM 13588,,,,,,
346,Enterococcus faecium DSM 13589,DSM 13589,DSM 13589,,,,,,
346,Enterococcus faecium DSM 13590,DSM 13590,DSM 13590;CIP 110055,,,,,,
346,Enterococcus faecalis DSM 13591,DSM 13591,CIP 110054;DSM 13591,GCA_043640405.1,已存在,DSM_Enterococcus faecalis DSM 13591_WGS_GCA_043640405.1.fasta,,,
347,Thermomonas haemolytica DSM 13598,DSM 13598,DSM 13598,,,,,,
347,Thermomonas haemolytica DSM 13599,DSM 13599,DSM 13599,,,,,,
347,Thermomonas haemolytica DSM 13605,DSM 13605,DSM 13605,GCF_004346265.1,已存在,DSM_Thermomonas haemolytica DSM 13605_WGS_GCF_004346265.1.fasta,NR_025441,已存在,DSM_Thermomonas haemolytica DSM 13605_16S_NR_025441.fasta
347,Hymenobacter aerophilus DSM 13607,DSM 13607,DSM 13607,,,,,,
347,Thermomonas haemolytica DSM 13610,DSM 13610,DSM 13610,,,,,,
347,Xenophilus azovorans DSM 13620,DSM 13620,DSM 13620,GCF_000745855.1,已存在,DSM_Xenophilus azovorans DSM 13620_WGS_GCF_000745855.1.fasta,LN623583,已存在,DSM_Xenophilus azovorans DSM 13620_16S_LN623583.fasta
347,Rhodotorula mucilaginosa DSM 13621,DSM 13621,DSM 13621,,,,,,
347,Candida boidinii DSM 13622,DSM 13622,DSM 13622,,,,,,
347,Pseudomonas putida DSM 13624,DSM 13624,DSM 13624,,,,,,
347,Proteus vulgaris DSM 13625,DSM 13625,DSM 13625,,,,,,
348,Pseudomonas aeruginosa DSM 13626,DSM 13626,DSM 13626,,,,,,
348,Pseudomonas stutzeri DSM 13627,DSM 13627,NCIMB 11359;CIP 107719;DSM 13627;ATCC 17686,GCA_042953945.1,已存在,CIP_Pseudomonas stutzeri DSM 13627_WGS_GCA_042953945.1.fasta,,,
348,Haematonectria haematococca DSM 13628,DSM 13628,DSM 13628,,,,,,
348,Geotrichum candidum DSM 13629,DSM 13629,DSM 13629,,,,,,
348,Aspergillus terreus DSM 13630,DSM 13630,DSM 13630,,,,,,
348,Escherichia coli DSM 13631,DSM 13631,NCIMB 8114;ATCC 9723;DSM 13631,GCA_045746305.1,已存在,NCIMB_Escherichia coli DSM 13631_WGS_GCA_045746305.1.fasta,,,
348,Megamonas sp. DSM 13636,DSM 13636,DSM 13636,,,,PV669839,已存在,DSM_Megamonas sp. DSM 13636_16S_PV669839.fasta
348,Ralstonia sp. DSM 13640,DSM 13640,DSM 13640,,,,,,
349,Thermobrachium celere DSM 13655,DSM 13655,DSM 13655,,,,,,
349,Brevibacterium paucivorans DSM 13658,DSM 13658,DSM 13658,,,,,,
349,Brevibacterium paucivorans DSM 13659,DSM 13659,DSM 13659,,,,,,
349,Brevibacterium paucivorans DSM 13660,DSM 13660,DSM 13660,,,,,,
349,Novosphingobium lentum DSM 13664,DSM 13664,DSM 13664,,,,,,
349,Alkalihalobacillus okuhidensis DSM 13667,DSM 13667,DSM 13667,,,,,,
349,Salmonella enterica subsp. enterica DSM 13674,DSM 13674,DSM 13674,,,,,,
349,Geobacter grbiciae DSM 13690,DSM 13690,DSM 13690,,,,,,
350,Collinsella aerofaciens DSM 13712,DSM 13712,DSM 13712,,,,,,
350,Coriobacterium sp. DSM 13714,DSM 13714,DSM 13714,,,,,,
350,Rhodotorula mucilaginosa DSM 13727,DSM 13727,DSM 13727,,,,,,
350,Methylosarcina quisquiliarum DSM 13737,DSM 13737,DSM 13737,,,,NR_025040,已存在,DSM_Methylosarcina quisquiliarum DSM 13737_16S_NR_025040.fasta
351,Vibrio agarivorans DSM 13755,DSM 13755,DSM 13755,,,,,,
351,Vibrio lentus DSM 13758,DSM 13758,DSM 13758,,,,,,
351,Vibrio lentus DSM 13759,DSM 13759,DSM 13759,,,,,,
351,Phage (phagum) DSM 13767,DSM 13767,DSM 13767,,,,,,
351,Phage (phagum) DSM 13768,DSM 13768,DSM 13768,,,,,,
351,Clostridium magnum DSM 13769,DSM 13769,DSM 13769,,,,,,
352,Fervidobacterium sp. DSM 13770,DSM 13770,DSM 13770,,,,,,
352,Vibrio mediterranei DSM 13774,DSM 13774,DSM 13774,,,,,,
352,Bacillus sonorensis DSM 13779,DSM 13779,DSM 13779,GCF_052827745.1,已存在,DSM_Bacillus sonorensis DSM 13779_WGS_GCF_052827745.1.fasta,PQ834826,已存在,DSM_Bacillus sonorensis DSM 13779_16S_PQ834826.fasta
352,Bacillus sonorensis DSM 13780,DSM 13780,DSM 13780,,,,,,
352,Burkholderia sp. DSM 13785,DSM 13785,DSM 13785,,,,,,
352,Streptococcus gallolyticus DSM 13808,DSM 13808,DSM 13808;CIP 106781,,,,,,
352,Clostridium beijerinckii DSM 13821,DSM 13821,DSM 13821,,,,,,
352,Pseudaminobacter sp. DSM 13826,DSM 13826,DSM 13826,,,,,,
352,Paracoccus sp. DSM 13827,DSM 13827,DSM 13827,,,,,,
352,Rhizobium sp. DSM 13828,DSM 13828,DSM 13828,,,,,,
353,Bosea sp. DSM 13829,DSM 13829,DSM 13829,,,,,,
353,Paracoccus sp. DSM 13830,DSM 13830,DSM 13830,,,,,,
353,Paracoccus sp. DSM 13831,DSM 13831,DSM 13831,,,,,,
353,Bacillus pumilus DSM 13835,DSM 13835,DSM 13835,GCA_029857565.1,已存在,DSM_Bacillus pumilus DSM 13835_WGS_GCA_029857565.1.fasta,,,
353,Hyphomicrobium sulfonivorans DSM 13863,DSM 13863,DSM 13863,GCF_001541235.1,已存在,DSM_Hyphomicrobium sulfonivorans DSM 13863_WGS_GCF_001541235.1.fasta,AF538931,已存在,DSM_Hyphomicrobium sulfonivorans DSM 13863_16S_AF538931.fasta
353,Pelagirhabdus fermentum DSM 13869,DSM 13869,DSM 13869,,,,NR_025193,已存在,DSM_Pelagirhabdus fermentum DSM 13869_16S_NR_025193.fasta
353,Amphibacillus tropicus DSM 13870,DSM 13870,DSM 13870,,,,NR_025192,已存在,DSM_Amphibacillus tropicus DSM 13870_16S_NR_025192.fasta
353,Agrobacterium radiobacter DSM 13874,DSM 13874,DSM 13874,,,,,,
354,Janibacter terrae DSM 13953,DSM 13953,DSM 13953,,,,AJ310085,已存在,DSM_Janibacter terrae DSM 13953_16S_AJ310085.fasta
354,Pseudomonas citronellolis DSM 13957,DSM 13957,DSM 13957,,,,,,
354,Psychromonas ingrahamii DSM 13959,DSM 13959,DSM 13959,,,,,,
354,Thermaerobacter subterraneus DSM 13965,DSM 13965,DSM 13965,GCF_000183545.2,已存在,DSM_Thermaerobacter subterraneus DSM 13965_WGS_GCF_000183545.2.fasta,EU214630,已存在,DSM_Thermaerobacter subterraneus DSM 13965_16S_EU214630.fasta
354,Mesobacillus subterraneus DSM 13966,DSM 13966,DSM 13966,GCF_003937825.1,已存在,DSM_Mesobacillus subterraneus DSM 13966_WGS_GCF_003937825.1.fasta,PP892575,已存在,DSM_Mesobacillus subterraneus DSM 13966_16S_PP892575.fasta
354,Alcanivorax venustensis DSM 13974,DSM 13974,DSM 13974,GCF_047495515.1,已存在,DSM_Alcanivorax venustensis DSM 13974_WGS_GCF_047495515.1.fasta,PV444485,已存在,DSM_Alcanivorax venustensis DSM 13974_16S_PV444485.fasta
354,Alcaligenes faecalis subsp. parafaecalis DSM 13975,DSM 13975,DSM 13975,GCF_026344135.1,已存在,DSM_Alcaligenes faecalis subsp. parafaecalis DSM 13975_WGS_GCF_026344135.1.fasta,HF934970,已存在,DSM_Alcaligenes faecalis subsp. parafaecalis DSM 13975_16S_HF934970.fasta
354,Phage (phagum) DSM 13976,DSM 13976,DSM 13976,,,,,,
355,Peribacillus simplex DSM 13997,DSM 13997,DSM 13997,,,,,,
355,Sterolibacterium denitrificans DSM 13999,DSM 13999,DSM 13999,GCF_001586935.1,已存在,DSM_Sterolibacterium denitrificans DSM 13999_WGS_GCF_001586935.1.fasta,NR_025450,已存在,DSM_Sterolibacterium denitrificans DSM 13999_16S_NR_025450.fasta
355,Thalassospira lucentensis DSM 14000,DSM 14000,DSM 14000,GCF_003326595.1,已存在,DSM_Thalassospira lucentensis DSM 14000_WGS_GCF_003326595.1.fasta,KC534149,已存在,DSM_Thalassospira lucentensis DSM 14000_16S_KC534149.fasta
355,Bacillus sp. DSM 14014,DSM 14014,DSM 14014,,,,,,
356,Purpureocillium lilacinum DSM 14052,DSM 14052,DSM 14052,,,,,,
356,Aminobacter aminovorans DSM 14059,DSM 14059,ATCC 27109;DSM 14059,,,,,,
356,Gelidibacter mesophilus DSM 14094,DSM 14094,DSM 14094,,,,,,
356,Phage (phagum) DSM 14097,DSM 14097,DSM 14097,,,,,,
356,Phage (phagum) DSM 14098,DSM 14098,DSM 14098,,,,,,
356,Phage (phagum) DSM 14099,DSM 14099,DSM 14099,,,,,,
356,Phage (phagum) DSM 14100,DSM 14100,DSM 14100,,,,,,
356,Phage (phagum) DSM 14101,DSM 14101,DSM 14101,,,,,,
356,Phage (phagum) DSM 14102,DSM 14102,DSM 14102,,,,,,
356,Phage (phagum) DSM 14103,DSM 14103,DSM 14103,,,,,,
356,Phage (phagum) DSM 14104,DSM 14104,DSM 14104,,,,,,
356,Phage (phagum) DSM 14105,DSM 14105,DSM 14105,,,,,,
356,Phage (phagum) DSM 14106,DSM 14106,DSM 14106,,,,,,
356,Phage (phagum) DSM 14107,DSM 14107,DSM 14107,,,,,,
356,Phage (phagum) DSM 14108,DSM 14108,DSM 14108,,,,,,
357,Phage (phagum) DSM 14109,DSM 14109,DSM 14109,,,,,,
357,Phage (phagum) DSM 14110,DSM 14110,DSM 14110,,,,,,
357,Phage (phagum) DSM 14111,DSM 14111,DSM 14111,,,,,,
357,Phage (phagum) DSM 14112,DSM 14112,DSM 14112,,,,,,
357,Phage (phagum) DSM 14113,DSM 14113,DSM 14113,,,,,,
357,Phage (phagum) DSM 14114,DSM 14114,DSM 14114,,,,,,
357,Phage (phagum) DSM 14115,DSM 14115,DSM 14115,,,,,,
357,Phage (phagum) DSM 14116,DSM 14116,DSM 14116,,,,,,
357,Phage (phagum) DSM 14117,DSM 14117,DSM 14117,,,,,,
357,Phage (phagum) DSM 14118,DSM 14118,DSM 14118,,,,,,
357,Phage (phagum) DSM 14119,DSM 14119,DSM 14119,,,,,,
357,Phage (phagum) DSM 14120,DSM 14120,DSM 14120,,,,,,
357,Phage (phagum) DSM 14121,DSM 14121,DSM 14121,,,,,,
357,Phage (phagum) DSM 14122,DSM 14122,DSM 14122,,,,,,
357,Phage (phagum) DSM 14123,DSM 14123,DSM 14123,,,,,,
357,Phage (phagum) DSM 14124,DSM 14124,DSM 14124,,,,,,
357,Phage (phagum) DSM 14125,DSM 14125,DSM 14125,,,,,,
357,Phage (phagum) DSM 14126,DSM 14126,DSM 14126,,,,,,
357,Phage (phagum) DSM 14127,DSM 14127,DSM 14127,,,,,,
357,Phage (phagum) DSM 14128,DSM 14128,DSM 14128,,,,,,
358,Phage (phagum) DSM 14129,DSM 14129,DSM 14129,,,,,,
358,Phage (phagum) DSM 14130,DSM 14130,DSM 14130,,,,,,
358,Phage (phagum) DSM 14131,DSM 14131,DSM 14131,,,,,,
358,Phage (phagum) DSM 14132,DSM 14132,DSM 14132,,,,,,
358,Phage (phagum) DSM 14133,DSM 14133,DSM 14133,,,,,,
358,Phage (phagum) DSM 14134,DSM 14134,DSM 14134,,,,,,
358,Phage (phagum) DSM 14135,DSM 14135,DSM 14135,,,,,,
358,Phage (phagum) DSM 14136,DSM 14136,DSM 14136,,,,,,
358,Phage (phagum) DSM 14137,DSM 14137,DSM 14137,,,,,,
358,Phage (phagum) DSM 14138,DSM 14138,DSM 14138,,,,,,
358,Parageobacillus caldoxylosilyticus DSM 14149,DSM 14149,DSM 14149,,,,,,
358,Escherichia coli DSM 14166,DSM 14166,DSM 14166,,,,,,
359,Serratia marcescens DSM 14187,DSM 14187,DSM 14187,,,,,,
359,Hormonema dematioides DSM 14201,DSM 14201,DSM 14201,,,,,,
359,Cystobasidium minutum DSM 14202,DSM 14202,DSM 14202,,,,,,
359,Paenibacillus naphthalenovorans DSM 14203,DSM 14203,DSM 14203,GCF_001465255.1,已存在,DSM_Paenibacillus naphthalenovorans DSM 14203_WGS_GCF_001465255.1.fasta,NR_028817,已存在,DSM_Paenibacillus naphthalenovorans DSM 14203_16S_NR_028817.fasta
359,Agrococcus baldri DSM 14216,DSM 14216,DSM 14216;CCM 4954,,,,,,
359,Salmonella enterica subsp. enterica DSM 14221,DSM 14221,DSM 14221,,,,,,
360,Micrococcus luteus DSM 14234,DSM 14234,CCM 4959;DSM 14234,,,,,,
360,Micrococcus luteus DSM 14235,DSM 14235,DSM 14235;CCM 4960,,,,,,
360,Kineococcus radiotolerans DSM 14245,DSM 14245,DSM 14245,GCF_000017305.1,已存在,DSM_Kineococcus radiotolerans DSM 14245_WGS_GCF_000017305.1.fasta,PQ643267,已存在,DSM_Kineococcus radiotolerans DSM 14245_16S_PQ643267.fasta
361,Pseudomonas sp. DSM 14291,DSM 14291,DSM 14291,,,,,,
361,Weissella cibaria DSM 14295,DSM 14295,DSM 14295,,,,,,
361,Rubritepida flocculans DSM 14296,DSM 14296,DSM 14296,GCF_000425365.1,已存在,DSM_Rubritepida flocculans DSM 14296_WGS_GCF_000425365.1.fasta,NR_025221,已存在,DSM_Rubritepida flocculans DSM 14296_16S_NR_025221.fasta
361,Stenotrophomonas maltophilia DSM 14322,DSM 14322,DSM 14322,,,,,,
361,Acetobacter malorum DSM 14337,DSM 14337,LMG 1746;DSM 14337;CIP 108768,GCF_001580615.1,成功,LMG_Acetobacter malorum DSM 14337_WGS_GCF_001580615.1.fasta,PP377884,成功,LMG_Acetobacter malorum DSM 14337_16S_PP377884.fasta
361,Latilactobacillus fuchuensis DSM 14341,DSM 14341,DSM 14341,,,,,,
361,Latilactobacillus fuchuensis DSM 14342,DSM 14342,DSM 14342,,,,,,
361,Salana multivorans DSM 14343,DSM 14343,DSM 14343,,,,,,
361,Persephonella guaymasensis DSM 14351,DSM 14351,DSM 14351,,,,NR_025166,已存在,DSM_Persephonella guaymasensis DSM 14351_16S_NR_025166.fasta
361,Phenylobacterium lituiforme DSM 14363,DSM 14363,DSM 14363,,,,NR_029117,已存在,DSM_Phenylobacterium lituiforme DSM 14363_16S_NR_029117.fasta
362,Microvirga subterranea DSM 14364,DSM 14364,DSM 14364,GCF_003350535.1,已存在,DSM_Microvirga subterranea DSM 14364_WGS_GCF_003350535.1.fasta,NR_104766,已存在,DSM_Microvirga subterranea DSM 14364_16S_NR_104766.fasta
362,Halodesulfovibrio aestuarii DSM 14367,DSM 14367,DSM 14367,,,,,,
362,Streptococcus sp. DSM 14369,DSM 14369,DSM 14369,,,,,,
362,Vibrio ruber DSM 14379,DSM 14379,DSM 14379,,,,EU735067,已存在,DSM_Vibrio ruber DSM 14379_16S_EU735067.fasta
362,Ochrobactrum anthropi DSM 14396,DSM 14396,DSM 14396,,,,AM114400,已存在,DSM_Ochrobactrum anthropi DSM 14396_16S_AM114400.fasta
363,Shewanella fidelis DSM 14404,DSM 14404,DSM 14404,,,,,,
363,Stenotrophomonas rhizophila DSM 14405,DSM 14405,DSM 14405,GCF_000661955.1,已存在,DSM_Stenotrophomonas rhizophila DSM 14405_WGS_GCF_000661955.1.fasta,OR767236,已存在,DSM_Stenotrophomonas rhizophila DSM 14405_16S_OR767236.fasta
363,Georgenia muralis DSM 14419,DSM 14419,CCM 4964;DSM 14419,,,,,,
363,Rhodothermus sp. DSM 14422,DSM 14422,DSM 14422,,,,,,
363,Aeribacillus sp. DSM 14423,DSM 14423,DSM 14423,,,,,,
363,Geobacillus sp. DSM 14431,DSM 14431,DSM 14431,,,,,,
363,Caldanaerobacter subterraneus DSM 14441,DSM 14441,DSM 14441,,,,FR749971,已存在,DSM_Caldanaerobacter subterraneus DSM 14441_16S_FR749971.fasta
364,Sphingomonas melonis DSM 14445,DSM 14445,DSM 14445;LMG 19485,,,,,,
364,Thioalkalivibrio jannaschii DSM 14478,DSM 14478,DSM 14478,,,,NR_028807,已存在,DSM_Thioalkalivibrio jannaschii DSM 14478_16S_NR_028807.fasta
364,Exiguobacterium undae DSM 14482,DSM 14482,DSM 14482,,,,,,
365,Planococcus antarcticus DSM 14506,DSM 14506,DSM 14506,,,,,,
366,Meiothermus taiwanensis DSM 14543,DSM 14543,DSM 14543,,,,,,
366,Kineosphaera sp. DSM 14549,DSM 14549,DSM 14549,,,,,,
367,Enterococcus faecalis DSM 14588,DSM 14588,DSM 14588,,,,,,
367,Thiomonas sp. DSM 14599,DSM 14599,DSM 14599,,,,,,
367,Kofleria flava DSM 14602,DSM 14602,DSM 14602,,,,HF937255,已存在,DSM_Kofleria flava DSM 14602_16S_HF937255.fasta
367,Mycosarcoma maydis DSM 14603,DSM 14603,DSM 14603,GCA_023212765.1,已存在,DSM_Mycosarcoma maydis DSM 14603_WGS_GCA_023212765.1.fasta,,,
368,Kofleria flava DSM 14620,DSM 14620,DSM 14620,,,,HF543825,已存在,DSM_Kofleria flava DSM 14620_16S_HF543825.fasta
368,Nannocystis pusilla DSM 14621,DSM 14621,DSM 14621,,,,,,
368,Rhizobium sullae DSM 14624,DSM 14624,DSM 14624,,,,,,
368,Jahnella thaxteri DSM 14625,DSM 14625,DSM 14625,,,,,,
368,Nannocystis exedens subsp. pulla DSM 14629,DSM 14629,DSM 14629,,,,MF741334,已存在,DSM_Nannocystis exedens subsp. pulla DSM 14629_16S_MF741334.fasta
368,Chondromyces lanuginosus DSM 14630,DSM 14630,DSM 14630,,,,,,
368,Chondromyces lanuginosus DSM 14632,DSM 14632,DSM 14632,,,,,,
368,Nannocystis exedens subsp. aggregans DSM 14639,DSM 14639,DSM 14639,,,,MF741333,已存在,DSM_Nannocystis exedens subsp. aggregans DSM 14639_16S_MF741333.fasta
368,Nannocystis exedens subsp. glomerata DSM 14640,DSM 14640,DSM 14640,,,,MF741336,已存在,DSM_Nannocystis exedens subsp. glomerata DSM 14640_16S_MF741336.fasta
369,Nannocystis exedens subsp. cinnabaria DSM 14641,DSM 14641,DSM 14641,,,,KF267739,已存在,DSM_Nannocystis exedens subsp. cinnabaria DSM 14641_16S_KF267739.fasta
369,Methanococcus voltae DSM 14649,DSM 14649,DSM 14649,GCF_017875395.1,已存在,DSM_Methanococcus voltae DSM 14649_WGS_GCF_017875395.1.fasta,,,
369,Ramlibacter tataouinensis DSM 14655,DSM 14655,DSM 14655,GCF_027941915.1,已存在,DSM_Ramlibacter tataouinensis DSM 14655_WGS_GCF_027941915.1.fasta,NR_074643,已存在,DSM_Ramlibacter tataouinensis DSM 14655_16S_NR_074643.fasta
369,Kofleria flava DSM 14659,DSM 14659,DSM 14659,,,,HF543823,已存在,DSM_Kofleria flava DSM 14659_16S_HF543823.fasta
369,Chondromyces pediculatus DSM 14660,DSM 14660,DSM 14660,,,,,,
369,Polyangium fumosum DSM 14669,DSM 14669,DSM 14669,,,,,,
369,Sorangium cellulosum DSM 14671,DSM 14671,DSM 14671,,,,,,
370,Myxococcus stipitatus DSM 14676,DSM 14676,DSM 14676,,,,,,
370,Sphingobium xenophagum DSM 14677,DSM 14677,DSM 14677,,,,,,
370,Corallococcus coralloides DSM 14687,DSM 14687,DSM 14687,,,,,,
370,Corallococcus coralloides DSM 14688,DSM 14688,DSM 14688,,,,,,
370,Pyxidicoccus fallax DSM 14689,DSM 14689,DSM 14689,,,,,,
370,Corallococcus macrosporus DSM 14690,DSM 14690,DSM 14690,,,,,,
370,Thauera pivalivorans DSM 14691,DSM 14691,DSM 14691,,,,,,
370,Acidovorax sp. DSM 14692,DSM 14692,DSM 14692,,,,,,
370,Polyangium sorediatum DSM 14693,DSM 14693,DSM 14693,,,,,,
370,Pyxidicoccus fallax DSM 14699,DSM 14699,DSM 14699,,,,,,
370,Myxococcus stipitatus DSM 14700,DSM 14700,DSM 14700,,,,,,
370,Cystobacter armeniaca DSM 14711,DSM 14711,DSM 14711,,,,,,
371,Cystobacter badius DSM 14715,DSM 14715,DSM 14715,,,,,,
371,Cystobacter ferrugineus DSM 14717,DSM 14717,DSM 14717,,,,,,
371,Cystobacter velatus DSM 14719,DSM 14719,DSM 14719,,,,,,
371,Corallococcus exiguus DSM 14720,DSM 14720,DSM 14720,,,,,,
371,Hyalangium minutum DSM 14721,DSM 14721,DSM 14721,,,,,,
371,Hyalangium minutum DSM 14725,DSM 14725,DSM 14725,,,,,,
371,Bacillus cereus DSM 14729,DSM 14729,DSM 14729,GCF_018221525.1,已存在,DSM_Bacillus cereus DSM 14729_WGS_GCF_018221525.1.fasta,,,
371,Sorangium cellulosum DSM 14731,DSM 14731,DSM 14731,,,,EU240498,已存在,DSM_Sorangium cellulosum DSM 14731_16S_EU240498.fasta
372,Sorangium cellulosum DSM 14732,DSM 14732,DSM 14732,,,,,,
372,Sorangium cellulosum DSM 14733,DSM 14733,DSM 14733,,,,,,
372,Polyangium spumosum DSM 14735,DSM 14735,DSM 14735,,,,,,
372,Polyangium spumosum DSM 14736,DSM 14736,DSM 14736,,,,,,
372,Stigmatella hybrida DSM 14737,DSM 14737,DSM 14737,,,,,,
372,Cystobacter badius DSM 14738,DSM 14738,DSM 14738,,,,,,
372,Chondromyces robustus DSM 14739,DSM 14739,DSM 14739,,,,,,
372,Melittangium lichenicola DSM 14740,DSM 14740,DSM 14740,,,,,,
372,Sphingomonas aurantiaca DSM 14749,DSM 14749,LMG 21378;DSM 14749,,,,,,
372,Archangium minus DSM 14752,DSM 14752,DSM 14752,,,,,,
373,Cystobacter gracilis DSM 14754,DSM 14754,DSM 14754,,,,,,
373,Cystobacter gracilis DSM 14755,DSM 14755,DSM 14755,,,,,,
373,Cystobacter miniatus DSM 14756,DSM 14756,DSM 14756,,,,,,
