原页码,菌株名称,DSM编号,提取的编号,WGS_ID,WGS_状态,WGS_文件,16S_ID,16S_状态,16S_文件
2154,Priestia megaterium DSM 113760,DSM 113760,DSM 113760,,,,,,
2154,Bacillus sp. DSM 113761,DSM 113761,DSM 113761,,,,,,
2154,Peribacillus sp. DSM 113762,DSM 113762,DSM 113762,,,,,,
2154,Peribacillus sp. DSM 113763,DSM 113763,DSM 113763,,,,,,
2154,Priestia sp. DSM 113764,DSM 113764,DSM 113764,,,,,,
2154,Bacillus sp. DSM 113765,DSM 113765,DSM 113765,,,,,,
2154,Paenibacillus sp. DSM 113766,DSM 113766,DSM 113766,,,,,,
2154,Peribacillus sp. DSM 113768,DSM 113768,DSM 113768,,,,,,
2155,Bacillus sp. DSM 113769,DSM 113769,DSM 113769,,,,,,
2155,Bacillus sp. DSM 113770,DSM 113770,DSM 113770,,,,,,
2155,Vibrio splendidus DSM 113771,DSM 113771,DSM 113771,,,,,,
2155,Vibrio splendidus DSM 113772,DSM 113772,DSM 113772,,,,,,
2155,Vibrio sp. DSM 113773,DSM 113773,DSM 113773,,,,,,
2155,Vibrio sp. DSM 113774,DSM 113774,DSM 113774,GCA_036983435.1,成功,DSM_Vibrio sp. DSM 113774_WGS_GCA_036983435.1.fasta,,,
2155,Vibrio splendidus DSM 113775,DSM 113775,DSM 113775,GCF_041475045.1,成功,DSM_Vibrio splendidus DSM 113775_WGS_GCF_041475045.1.fasta,,,
2155,Vibrio splendidus DSM 113776,DSM 113776,DSM 113776,,,,,,
2155,Vibrio splendidus DSM 113777,DSM 113777,DSM 113777,,,,,,
2155,Vibrio splendidus DSM 113778,DSM 113778,DSM 113778,GCA_044527385.1,成功,DSM_Vibrio splendidus DSM 113778_WGS_GCA_044527385.1.fasta,,,
2155,Stieleria sedimenti DSM 113784,DSM 113784,DSM 113784,GCF_025060895.1,成功,DSM_Stieleria sedimenti DSM 113784_WGS_GCF_025060895.1.fasta,,,
2155,Desulfurivibrio dismutans DSM 113785,DSM 113785,DSM 113785,,,,,,
2155,Segatella sp. DSM 113786,DSM 113786,DSM 113786,,,,,,
2155,Phyllobacterium chamaecytisi DSM 113831,DSM 113831,DSM 113831,GCF_020164455.1,成功,DSM_Phyllobacterium chamaecytisi DSM 113831_WGS_GCF_020164455.1.fasta,,,
2155,Limosilactobacillus galli DSM 113833,DSM 113833,DSM 113833;LMG 32623,GCF_947381495.1,成功,DSM_Limosilactobacillus galli DSM 113833_WGS_GCF_947381495.1.fasta,OM760982,成功,DSM_Limosilactobacillus galli DSM 113833_16S_OM760982.fasta
2155,Staphylococcus capitis DSM 113836,DSM 113836,DSM 113836,GCF_025272815.1,成功,DSM_Staphylococcus capitis DSM 113836_WGS_GCF_025272815.1.fasta,,,
2155,Tepidibacter hydrothermalis DSM 113848,DSM 113848,DSM 113848,GCF_029542625.1,成功,DSM_Tepidibacter hydrothermalis DSM 113848_WGS_GCF_029542625.1.fasta,OP320683,成功,DSM_Tepidibacter hydrothermalis DSM 113848_16S_OP320683.fasta
2155,Limosilactobacillus avium DSM 113849,DSM 113849,DSM 113849;LMG 32671,GCF_947381485.1,成功,DSM_Limosilactobacillus avium DSM 113849_WGS_GCF_947381485.1.fasta,OM760983,成功,DSM_Limosilactobacillus avium DSM 113849_16S_OM760983.fasta
2155,Faecalispora anaeroviscerum DSM 113860,DSM 113860,DSM 113860;LMG 32675,GCF_947568225.1,成功,DSM_Faecalispora anaeroviscerum DSM 113860_WGS_GCF_947568225.1.fasta,,,
2155,Vibrio lentus DSM 113861,DSM 113861,DSM 113861,,,,,,
2156,Vibrio lentus DSM 113862,DSM 113862,DSM 113862,,,,,,
2156,Vibrio lentus DSM 113863,DSM 113863,DSM 113863,,,,,,
2156,Vibrio lentus DSM 113864,DSM 113864,DSM 113864,,,,,,
2156,Shewanella sp. DSM 113865,DSM 113865,DSM 113865,,,,,,
2156,Vibrio lentus DSM 113866,DSM 113866,DSM 113866,,,,,,
2156,Vibrio lentus DSM 113867,DSM 113867,DSM 113867,,,,,,
2156,Vibrio lentus DSM 113868,DSM 113868,DSM 113868,,,,,,
2156,Shewanella sp. DSM 113869,DSM 113869,DSM 113869,,,,,,
2156,Ligilactobacillus hohenheimensis DSM 113870,DSM 113870,DSM 113870;LMG 32876,GCF_947381805.1,成功,DSM_Ligilactobacillus hohenheimensis DSM 113870_WGS_GCF_947381805.1.fasta,,,
2156,Acidovorax sp. DSM 113887,DSM 113887,DSM 113887,,,,,,
2156,Ochrobactrum anthropi DSM 113888,DSM 113888,DSM 113888,,,,,,
2156,Shewanella sp. DSM 113890,DSM 113890,DSM 113890,,,,,,
2156,Streptococcus sp. DSM 113892,DSM 113892,DSM 113892,GCF_948472335.1,成功,DSM_Streptococcus sp. DSM 113892_WGS_GCF_948472335.1.fasta,OX415211,成功,DSM_Streptococcus sp. DSM 113892_16S_OX415211.fasta
2156,Desulfatitalea alkaliphila DSM 113909,DSM 113909,DSM 113909,GCF_022968795.1,成功,DSM_Desulfatitalea alkaliphila DSM 113909_WGS_GCF_022968795.1.fasta,OP380633,成功,DSM_Desulfatitalea alkaliphila DSM 113909_16S_OP380633.fasta
2156,Elizabethkingia miricola DSM 113910,DSM 113910,DSM 113910,,,,,,
2156,Rhizobium aouanii DSM 113914,DSM 113914,LMG 33206;DSM 113914,GCF_037002925.1,成功,LMG_Rhizobium aouanii DSM 113914_WGS_GCF_037002925.1.fasta,PP495260,成功,LMG_Rhizobium aouanii DSM 113914_16S_PP495260.fasta
2156,Rahnella sp. DSM 113918,DSM 113918,DSM 113918,,,,,,
2156,Bacillus sp. DSM 113921,DSM 113921,DSM 113921,,,,,,
2156,Moraxella osloensis DSM 113922,DSM 113922,DSM 113922,,,,,,
2156,Micrococcus luteus DSM 113923,DSM 113923,DSM 113923,,,,,,
2157,Bacillus licheniformis DSM 113927,DSM 113927,DSM 113927,,,,,,
2157,Bacillus licheniformis DSM 113928,DSM 113928,DSM 113928,,,,,,
2157,Paenibacillus sp. DSM 113929,DSM 113929,DSM 113929,,,,,,
2157,Priestia megaterium DSM 113930,DSM 113930,DSM 113930,,,,,,
2157,Bacillus licheniformis DSM 113931,DSM 113931,DSM 113931,,,,,,
2157,Rahnella sp. DSM 114069,DSM 114069,DSM 114069,,,,,,
2157,Streptomyces boninensis DSM 114118,DSM 114118,NBRC 113073;DSM 114118,GCF_048572725.1,成功,NBRC_Streptomyces boninensis DSM 114118_WGS_GCF_048572725.1.fasta,NR_179237,成功,NBRC_Streptomyces boninensis DSM 114118_16S_NR_179237.fasta
2157,Bacteroides sp. DSM 114230,DSM 114230,DSM 114230,,,,,,
2157,Nostoc sp. DSM 114167,DSM 114167,DSM 114167,,,,,,
2157,Nostoc punctiforme DSM 114169,DSM 114169,DSM 114169,,,,,,
2157,Marmoricola sp. DSM 114042,DSM 114042,DSM 114042,,,,,,
2157,Moraxella osloensis DSM 114170,DSM 114170,DSM 114170,,,,,,
2157,Phage (phagum) DSM 113974,DSM 113974,DSM 113974,,,,,,
2157,Phage (phagum) DSM 113973,DSM 113973,DSM 113973,,,,,,
2157,Phage (phagum) DSM 113972,DSM 113972,DSM 113972,,,,,,
2157,Phage (phagum) DSM 113970,DSM 113970,DSM 113970,,,,,,
2157,Phage (phagum) DSM 113969,DSM 113969,DSM 113969,,,,,,
2157,Phage (phagum) DSM 113935,DSM 113935,DSM 113935,,,,,,
2157,Phage (phagum) DSM 113936,DSM 113936,DSM 113936,,,,,,
2157,Pseudomonas aeruginosa DSM 113937,DSM 113937,DSM 113937,,,,,,
2158,Pseudomonas aeruginosa DSM 113938,DSM 113938,DSM 113938,,,,,,
