原页码,菌株名称,JCM编号,BacDive链接,WGS_ID,WGS_状态,WGS_文件,16S_ID,16S_状态,16S_文件
1461,Limosilactobacillus reuteri JCM 1081,1081,https://bacdive.dsmz.de/strain/161074,GCA_002112225,成功,Limosilactobacillus reuteri JCM 1081_WGS_GCA_002112225.fasta,AB289269,成功,Limosilactobacillus reuteri JCM 1081_16S_AB289269.fasta
1461,Limosilactobacillus reuteri JCM 1084,1084,https://bacdive.dsmz.de/strain/161078,N/A,N/A,,AB289270,成功,Limosilactobacillus reuteri JCM 1084_16S_AB289270.fasta
1461,Limosilactobacillus JCM 1088,1088,https://bacdive.dsmz.de/strain/161080,N/A,N/A,,LC723853,成功,Limosilactobacillus JCM 1088_16S_LC723853.fasta
1461,Lactobacillus johnsonii JCM 1101,1101,https://bacdive.dsmz.de/strain/136238,N/A,N/A,,AB680530,成功,Lactobacillus johnsonii JCM 1101_16S_AB680530.fasta
1461,Lentilactobacillus JCM 1102,1102,https://bacdive.dsmz.de/strain/138175,GCA_000159175,成功,Lentilactobacillus JCM 1102_WGS_GCA_000159175.fasta,N/A,N/A,
1462,Lactobacillus helveticus JCM 1103,1103,https://bacdive.dsmz.de/strain/161122,N/A,N/A,,AB289154,成功,Lactobacillus helveticus JCM 1103_16S_AB289154.fasta
1462,Lactobacillus delbrueckii lactis JCM 1105,1105,N/A,N/A,N/A,,N/A,N/A,
1462,Lactobacillus delbrueckii lactis JCM 1106,1106,https://bacdive.dsmz.de/strain/161126,N/A,N/A,,AB289090,成功,Lactobacillus delbrueckii lactis JCM 1106_16S_AB289090.fasta
1462,Lactobacillus delbrueckii lactis JCM 1107,1107,https://bacdive.dsmz.de/strain/137310,GCA_021134415,成功,Lactobacillus delbrueckii lactis JCM 1107_WGS_GCA_021134415.fasta,AB289091,成功,Lactobacillus delbrueckii lactis JCM 1107_16S_AB289091.fasta
1462,Lacticaseibacillus paracasei paracasei JCM 1109,1109,https://bacdive.dsmz.de/strain/161128,N/A,N/A,,AB289214,成功,Lacticaseibacillus paracasei paracasei JCM 1109_16S_AB289214.fasta
1462,Lacticaseibacillus paracasei paracasei JCM 1111,1111,https://bacdive.dsmz.de/strain/161129,N/A,N/A,,AB289215,成功,Lacticaseibacillus paracasei paracasei JCM 1111_16S_AB289215.fasta
