页码,菌株名称,DSM编号,WGS_ID,WGS_状态,WGS_文件,16S_ID,16S_状态,16S_文件,Complete_ID,Complete_状态,Complete_文件
5,Pararhodospirillum photometricum DSM 122,DSM 122,N/A,N/A,,AJ222662,成功,Pararhodospirillum photometricum DSM 122_16S_AJ222662.fasta,N/A,N/A,
5,Rhodopseudomonas pseudopalustris DSM 123,DSM 123,N/A,N/A,,AB498818,成功,Rhodopseudomonas pseudopalustris DSM 123_16S_AB498818.fasta,N/A,N/A,
5,Rhodopseudomonas palustris DSM 126,DSM 126,N/A,N/A,,N/A,N/A,,N/A,N/A,
5,Rhodopseudomonas palustris DSM 127,DSM 127,N/A,N/A,,N/A,N/A,,N/A,N/A,
5,Rhodopseudomonas parapalustris DSM 130,DSM 130,N/A,N/A,,N/A,N/A,,N/A,N/A,
5,Rhodopseudomonas palustris DSM 131,DSM 131,N/A,N/A,,N/A,N/A,,N/A,N/A,
5,Blastochloris viridis DSM 133,DSM 133,N/A,N/A,,N/A,N/A,,NZ_AP014854.2,成功,Blastochloris viridis DSM 133_Complete_NZ_AP014854.2.fasta
5,Blastochloris viridis DSM 134,DSM 134,N/A,N/A,,N/A,N/A,,N/A,N/A,
5,Blastochloris sulfoviridis DSM 136,DSM 136,N/A,N/A,,N/A,N/A,,N/A,N/A,
5,Rhodoblastus acidophilus DSM 137,DSM 137,GCA_029991255.1,成功,Rhodoblastus acidophilus DSM 137_WGS_GCA_029991255.1.fasta,N/A,N/A,,N/A,N/A,
5,Rhodoblastus acidophilus DSM 142,DSM 142,N/A,N/A,,JN408836,成功,Rhodoblastus acidophilus DSM 142_16S_JN408836.fasta,N/A,N/A,
5,Rhodoblastus acidophilus DSM 145,DSM 145,N/A,N/A,,N/A,N/A,,N/A,N/A,
5,Rubrivivax gelatinosus DSM 149,DSM 149,N/A,N/A,,N/A,N/A,,N/A,N/A,
5,Rubrivivax gelatinosus DSM 151,DSM 151,N/A,N/A,,N/A,N/A,,N/A,N/A,
5,Rhodobacter capsulatus DSM 152,DSM 152,N/A,N/A,,N/A,N/A,,N/A,N/A,
5,Rhodobacter capsulatus DSM 155,DSM 155,N/A,N/A,,N/A,N/A,,N/A,N/A,
6,Rhodobacter capsulatus DSM 156,DSM 156,N/A,N/A,,N/A,N/A,,N/A,N/A,
6,Rhodobacter capsulatus DSM 157,DSM 157,N/A,N/A,,N/A,N/A,,N/A,N/A,
6,Cereibacter sphaeroides DSM 158,DSM 158,GCF_049434525.1,成功,Cereibacter sphaeroides DSM 158_WGS_GCF_049434525.1.fasta,N/A,N/A,,N/A,N/A,
6,Cereibacter sphaeroides DSM 159,DSM 159,N/A,N/A,,N/A,N/A,,N/A,N/A,
6,Cereibacter sphaeroides DSM 160,DSM 160,N/A,N/A,,N/A,N/A,,N/A,N/A,
6,Rhodopila globiformis DSM 161,DSM 161,GCF_002937115.1,成功,Rhodopila globiformis DSM 161_WGS_GCF_002937115.1.fasta,N/A,N/A,,N/A,N/A,
6,Rhodomicrobium vannielii DSM 162,DSM 162,N/A,N/A,,FN666247,成功,Rhodomicrobium vannielii DSM 162_16S_FN666247.fasta,N/A,N/A,
6,Rhodomicrobium vannielii DSM 166,DSM 166,N/A,N/A,,N/A,N/A,,N/A,N/A,
6,Rhodocyclus purpureus DSM 168,DSM 168,N/A,N/A,,N/A,N/A,,N/A,N/A,
6,Allochromatium warmingii DSM 173,DSM 173,GCF_900107145.1,成功,Allochromatium warmingii DSM 173_WGS_GCF_900107145.1.fasta,N/A,N/A,,N/A,N/A,
6,Allochromatium warmingii DSM 174,DSM 174,N/A,N/A,,N/A,N/A,,N/A,N/A,
6,Marichromatium gracile DSM 175,DSM 175,N/A,N/A,,N/A,N/A,,N/A,N/A,
6,Isochromatium buderi DSM 176,DSM 176,N/A,N/A,,NR_025318,成功,Isochromatium buderi DSM 176_16S_NR_025318.fasta,N/A,N/A,
6,Isochromatium buderi DSM 177,DSM 177,N/A,N/A,,N/A,N/A,,N/A,N/A,
6,Allochromatium vinosum DSM 180,DSM 180,GCA_937926395.1,成功,Allochromatium vinosum DSM 180_WGS_GCA_937926395.1.fasta,N/A,N/A,,N/A,N/A,
6,Thiorhodococcus sp. DSM 182,DSM 182,N/A,N/A,,N/A,N/A,,N/A,N/A,
6,Allochromatium vinosum DSM 183,DSM 183,N/A,N/A,,N/A,N/A,,N/A,N/A,
6,Allochromatium vinosum DSM 185,DSM 185,N/A,N/A,,N/A,N/A,,N/A,N/A,
6,Allochromatium vinosum DSM 186,DSM 186,N/A,N/A,,N/A,N/A,,N/A,N/A,
6,Allochromatium vinosum DSM 189,DSM 189,N/A,N/A,,N/A,N/A,,N/A,N/A,
7,Allochromatium vinosum DSM 195,DSM 195,N/A,N/A,,N/A,N/A,,N/A,N/A,
7,Allochromatium vinosum DSM 196,DSM 196,N/A,N/A,,N/A,N/A,,N/A,N/A,
7,Thiocystis violascens DSM 198,DSM 198,N/A,N/A,,N/A,N/A,,CP003154.1,成功,Thiocystis violascens DSM 198_Complete_CP003154.1.fasta
7,Allochromatium sp. DSM 199,DSM 199,N/A,N/A,,N/A,N/A,,N/A,N/A,
7,Thiorhodococcus sp. DSM 200,DSM 200,N/A,N/A,,Medium 28,成功,Thiorhodococcus sp. DSM 200_16S_Medium 28.fasta,N/A,N/A,
7,Thiocystis violascens DSM 201,DSM 201,N/A,N/A,,N/A,N/A,,N/A,N/A,
7,Thiocystis violascens DSM 202,DSM 202,N/A,N/A,,N/A,N/A,,N/A,N/A,
7,Marichromatium gracile DSM 203,DSM 203,N/A,N/A,,N/A,N/A,,N/A,N/A,
7,Marichromatium gracile DSM 204,DSM 204,N/A,N/A,,N/A,N/A,,N/A,N/A,
7,Thiocystis violacea DSM 208,DSM 208,N/A,N/A,,FN293060,成功,Thiocystis violacea DSM 208_16S_FN293060.fasta,N/A,N/A,
7,Thiorhodococcus sp. DSM 212,DSM 212,N/A,N/A,,N/A,N/A,,N/A,N/A,
7,Thiorhodococcus sp. DSM 213,DSM 213,N/A,N/A,,N/A,N/A,,N/A,N/A,
7,Allochromatium sp. DSM 214,DSM 214,N/A,N/A,,N/A,N/A,,N/A,N/A,
7,Thiocapsa roseopersicina DSM 217,DSM 217,N/A,N/A,,Y12364,成功,Thiocapsa roseopersicina DSM 217_16S_Y12364.fasta,N/A,N/A,
7,Thiocapsa roseopersicina DSM 221,DSM 221,N/A,N/A,,N/A,N/A,,N/A,N/A,
7,Thiococcus pfennigii DSM 226,DSM 226,N/A,N/A,,Y12373,成功,Thiococcus pfennigii DSM 226_16S_Y12373.fasta,N/A,N/A,
7,Thiococcus pfennigii DSM 227,DSM 227,N/A,N/A,,FN293056,成功,Thiococcus pfennigii DSM 227_16S_FN293056.fasta,N/A,N/A,
7,Thiococcus pfennigii DSM 228,DSM 228,N/A,N/A,,FN293055,成功,Thiococcus pfennigii DSM 228_16S_FN293055.fasta,N/A,N/A,
7,Lamprocystis roseopersicina DSM 229,DSM 229,N/A,N/A,,N/A,N/A,,N/A,N/A,
7,Thiodictyon elegans DSM 232,DSM 232,N/A,N/A,,N/A,N/A,,N/A,N/A,
8,Thiodictyon bacillosum DSM 234,DSM 234,N/A,N/A,,N/A,N/A,,N/A,N/A,
8,Thiocapsa rosea DSM 235,DSM 235,N/A,N/A,,AJ006062,成功,Thiocapsa rosea DSM 235_16S_AJ006062.fasta,N/A,N/A,
8,Thiocapsa pendens DSM 236,DSM 236,N/A,N/A,,N/A,N/A,,N/A,N/A,
8,Ectothiorhodospira mobilis DSM 237,DSM 237,N/A,N/A,,HG970164,成功,Ectothiorhodospira mobilis DSM 237_16S_HG970164.fasta,N/A,N/A,
8,Ectothiorhodospira mobilis DSM 238,DSM 238,N/A,N/A,,N/A,N/A,,N/A,N/A,
8,Ectothiorhodospira mobilis DSM 239,DSM 239,N/A,N/A,,X93480,成功,Ectothiorhodospira mobilis DSM 239_16S_X93480.fasta,N/A,N/A,
8,Ectothiorhodospira mobilis DSM 240,DSM 240,N/A,N/A,,N/A,N/A,,N/A,N/A,
8,Ectothiorhodospira marina DSM 241,DSM 241,6865,成功,Ectothiorhodospira marina DSM 241_WGS_6865.fasta,6865,成功,Ectothiorhodospira marina DSM 241_16S_6865.fasta,N/A,N/A,
8,Ectothiorhodospira marina DSM 242,DSM 242,N/A,N/A,,N/A,N/A,,N/A,N/A,
8,Ectothiorhodospira shaposhnikovii DSM 243,DSM 243,N/A,N/A,,M59151,成功,Ectothiorhodospira shaposhnikovii DSM 243_16S_M59151.fasta,N/A,N/A,
8,Halorhodospira halophila DSM 244,DSM 244,N/A,N/A,,N/A,N/A,,N/A,N/A,
8,Chlorobium limicola DSM 245,DSM 245,N/A,N/A,,AJ290824,成功,Chlorobium limicola DSM 245_16S_AJ290824.fasta,N/A,N/A,
8,Chlorobium limicola DSM 248,DSM 248,N/A,N/A,,N/A,N/A,,N/A,N/A,
8,Chlorobaculum thiosulfatiphilum DSM 249,DSM 249,N/A,N/A,,N/A,N/A,,N/A,N/A,
8,Chlorobaculum sp. DSM 254,DSM 254,N/A,N/A,,N/A,N/A,,N/A,N/A,
8,Chlorobaculum sp. DSM 257,DSM 257,N/A,N/A,,N/A,N/A,,N/A,N/A,
8,Chlorobium limicola DSM 258,DSM 258,N/A,N/A,,N/A,N/A,,N/A,N/A,
8,Prosthecochloris vibrioformis DSM 260,DSM 260,N/A,N/A,,N/A,N/A,,N/A,N/A,
8,Chlorobium phaeovibrioides DSM 261,DSM 261,N/A,N/A,,N/A,N/A,,N/A,N/A,
8,Chlorobium luteolum DSM 262,DSM 262,N/A,N/A,,N/A,N/A,,N/A,N/A,
9,Chlorobaculum parvum DSM 263,DSM 263,N/A,N/A,,N/A,N/A,,CP001099,成功,Chlorobaculum parvum DSM 263_Complete_CP001099.fasta
9,Chlorobium phaeovibrioides DSM 265,DSM 265,N/A,N/A,,N/A,N/A,,N/A,N/A,
9,Chlorobium phaeovibrioides DSM 267,DSM 267,N/A,N/A,,N/A,N/A,,N/A,N/A,
9,Chlorobium phaeovibrioides DSM 269,DSM 269,N/A,N/A,,N/A,N/A,,N/A,N/A,
9,Chlorobium phaeovibrioides DSM 270,DSM 270,N/A,N/A,,N/A,N/A,,N/A,N/A,
9,Chlorobium luteolum DSM 273,DSM 273,N/A,N/A,,N/A,N/A,,N/A,N/A,
9,Sporosarcina pasteurii DSM 276,DSM 276,N/A,N/A,,N/A,N/A,,N/A,N/A,
9,Metabacillus fastidiosus DSM 277,DSM 277,N/A,N/A,,N/A,N/A,,N/A,N/A,
9,Metabacillus fastidiosus DSM 278,DSM 278,N/A,N/A,,N/A,N/A,,N/A,N/A,
9,Azotobacter vinelandii DSM 279,DSM 279,N/A,N/A,,N/A,N/A,,N/A,N/A,
9,Metabacillus fastidiosus DSM 280,DSM 280,N/A,N/A,,N/A,N/A,,N/A,N/A,
9,Azotobacter chroococcum DSM 281,DSM 281,N/A,N/A,,N/A,N/A,,N/A,N/A,
9,Azotobacter beijerinckii DSM 282,DSM 282,N/A,N/A,,N/A,N/A,,N/A,N/A,
9,Metabacillus fastidiosus DSM 283,DSM 283,N/A,N/A,,N/A,N/A,,N/A,N/A,
9,Sarcina ventriculi DSM 286,DSM 286,GCF_053546775.1,成功,Sarcina ventriculi DSM 286_WGS_GCF_053546775.1.fasta,N/A,N/A,,N/A,N/A,
9,Shinella zoogloeoides DSM 287,DSM 287,GCF_049650965.1,成功,Shinella zoogloeoides DSM 287_WGS_GCF_049650965.1.fasta,N/A,N/A,,N/A,N/A,
9,Pseudomonas aeruginosa DSM 288,DSM 288,N/A,N/A,,N/A,N/A,,N/A,N/A,
9,Pseudomonas koreensis DSM 289,DSM 289,N/A,N/A,,TRBA,成功,Pseudomonas koreensis DSM 289_16S_TRBA.fasta,N/A,N/A,
9,Pseudomonas putida DSM 291,DSM 291,N/A,N/A,,Z76667,成功,Pseudomonas putida DSM 291_16S_Z76667.fasta,AP013070,成功,Pseudomonas putida DSM 291_Complete_AP013070.fasta
9,Paenibacillus polymyxa DSM 292,DSM 292,N/A,N/A,,N/A,N/A,,N/A,N/A,
10,Pseudomonas putida DSM 295,DSM 295,N/A,N/A,,N/A,N/A,,N/A,N/A,
10,Geobacillus stearothermophilus DSM 297,DSM 297,N/A,N/A,,N/A,N/A,,N/A,N/A,
10,Brevibacillus borstelensis DSM 298,DSM 298,N/A,N/A,,N/A,N/A,,N/A,N/A,
10,Bacillus mycoides DSM 299,DSM 299,N/A,N/A,,N/A,N/A,,N/A,N/A,
10,Sarcina ventriculi DSM 300,DSM 300,N/A,N/A,,N/A,N/A,,N/A,N/A,
10,Escherichia coli DSM 301,DSM 301,GCF_900699165.1,成功,Escherichia coli DSM 301_WGS_GCF_900699165.1.fasta,N/A,N/A,,N/A,N/A,
10,Bacillus mycoides DSM 303,DSM 303,N/A,N/A,,N/A,N/A,,N/A,N/A,
10,Pseudomonas sp. DSM 304,DSM 304,N/A,N/A,,See price list.,成功,Pseudomonas sp. DSM 304_16S_See price list..fasta,N/A,N/A,
10,Bacillus mycoides DSM 307,DSM 307,N/A,N/A,,N/A,N/A,,N/A,N/A,
10,Escherichia coli DSM 308,DSM 308,N/A,N/A,,N/A,N/A,,N/A,N/A,
10,Bacillus mycoides DSM 309,DSM 309,N/A,N/A,,N/A,N/A,,N/A,N/A,
10,Rhodococcus erythropolis DSM 312,DSM 312,N/A,N/A,,N/A,N/A,,N/A,N/A,
10,Rhodococcus erythropolis DSM 313,DSM 313,N/A,N/A,,N/A,N/A,,N/A,N/A,
10,Sarcina maxima DSM 316,DSM 316,N/A,N/A,,X76650,成功,Sarcina maxima DSM 316_16S_X76650.fasta,N/A,N/A,
10,Sporosarcina ureae DSM 317,DSM 317,N/A,N/A,,N/A,N/A,,N/A,N/A,
10,Priestia megaterium DSM 319,DSM 319,N/A,N/A,,N/A,N/A,,NC_014103,成功,Priestia megaterium DSM 319_Complete_NC_014103.fasta
10,Sporosarcina ureae DSM 320,DSM 320,GCF_042647765.1,成功,Sporosarcina ureae DSM 320_WGS_GCF_042647765.1.fasta,N/A,N/A,,N/A,N/A,
10,Priestia megaterium DSM 321,DSM 321,N/A,N/A,,N/A,N/A,,N/A,N/A,
10,Priestia megaterium DSM 322,DSM 322,N/A,N/A,,N/A,N/A,,N/A,N/A,
10,Sporosarcina pasteurii DSM 323,DSM 323,N/A,N/A,,N/A,N/A,,N/A,N/A,
11,Metabacillus fastidiosus DSM 324,DSM 324,N/A,N/A,,NZ_CP027476,成功,Metabacillus fastidiosus DSM 324_16S_NZ_CP027476.fasta,N/A,N/A,
11,Metabacillus fastidiosus DSM 325,DSM 325,N/A,N/A,,NZ_CP027476,成功,Metabacillus fastidiosus DSM 325_16S_NZ_CP027476.fasta,N/A,N/A,
11,Metabacillus fastidiosus DSM 326,DSM 326,GCF_002101655.1,成功,Metabacillus fastidiosus DSM 326_WGS_GCF_002101655.1.fasta,N/A,N/A,,N/A,N/A,
11,Azotobacter chroococcum DSM 328,DSM 328,N/A,N/A,,N/A,N/A,,N/A,N/A,
